Frame Number,Time Stamp (ms),Buffer Index
0,-13,0
1,42,0
2,97,0
3,153,0
4,207,0
5,263,0
6,318,0
7,373,0
8,427,0
9,483,0
10,538,0
11,592,0
12,649,0
13,702,0
14,757,0
15,813,0
16,867,0
17,924,0
18,978,0
19,1033,0
20,1088,0
21,1144,0
22,1200,0
23,1254,0
24,1307,0
25,1364,0
26,1419,0
27,1473,0
28,1529,0
29,1583,0
30,1638,0
31,1693,0
32,1749,0
33,1803,0
34,1858,0
35,1913,0
36,1968,0
37,2023,0
38,2079,0
39,2134,0
40,2188,0
41,2244,0
42,2298,0
43,2353,0
44,2408,0
45,2464,0
46,2519,0
47,2573,0
48,2631,0
49,2684,0
50,2739,0
51,2794,0
52,2849,0
53,2903,0
54,2958,0
55,3016,0
56,3069,0
57,3124,0
58,3181,0
59,3234,0
60,3289,0
61,3345,0
62,3399,0
63,3454,0
64,3510,0
65,3565,0
66,3619,0
67,3674,0
68,3730,0
69,3784,0
70,3839,0
71,3896,0
72,3950,0
73,4004,0
74,4060,0
75,4115,0
76,4169,0
77,4224,0
78,4281,0
79,4335,0
80,4390,0
81,4446,0
82,4500,0
83,4554,0
84,4610,0
85,4666,0
86,4720,0
87,4775,0
88,4832,0
89,4885,0
90,4939,0
91,4996,0
92,5050,0
93,5105,0
94,5161,0
95,5217,0
96,5270,0
97,5325,0
98,5382,0
99,5435,0
100,5491,0
101,5547,0
102,5600,0
103,5655,0
104,5711,0
105,5766,0
106,5820,0
107,5876,0
108,5932,0
109,5986,0
110,6040,0
111,6097,0
112,6150,0
113,6206,0
114,6262,0
115,6316,0
116,6371,0
117,6427,0
118,6482,0
119,6536,0
120,6592,0
121,6648,0
122,6701,0
123,6756,0
124,6813,0
125,6866,0
126,6921,0
127,6977,0
128,7032,0
129,7086,0
130,7141,0
131,7198,0
132,7252,0
133,7307,0
134,7363,0
135,7417,0
136,7471,0
137,7528,0
138,7581,0
139,7637,0
140,7692,0
141,7747,0
142,7801,0
143,7857,0
144,7913,0
145,7967,0
146,8021,0
147,8078,0
148,8132,0
149,8188,0
150,8242,0
151,8297,0
152,8353,0
153,8408,0
154,8463,0
155,8517,0
156,8572,0
157,8628,0
158,8682,0
159,8738,0
160,8794,0
161,8847,0
162,8903,0
163,8958,0
164,9013,0
165,9068,0
166,9123,0
167,9179,0
168,9233,0
169,9288,0
170,9344,0
171,9399,0
172,9453,0
173,9508,0
174,9565,0
175,9618,0
176,9673,0
177,9729,0
178,9783,0
179,9839,0
180,9894,0
181,9948,0
182,10003,0
183,10059,0
184,10115,0
185,10168,0
186,10224,0
187,10279,0
188,10334,0
